기능,진행 여부,Method,Phase,Query Params,Request,Response,URL,담당자,도메인,설명
채팅 목록 조회,구현 완료,GET,Phase 1,"• cursor: 페이지네이션
• limit: 기본 20",,"Response (200 OK)
{ ""items"": [{ ""thread_id"", ""title"", ""last_message"", ""updated_at"" }],
  ""next_cursor"": ""string"" }",/api/v1/chats,이정,채팅,사이드바에 표시할 채팅 목록
채팅 상세 조회,구현 완료,GET,Phase 1,,,"Response (200 OK)
{ ""thread_id"", ""title"", ""messages"": [{ ""role"", ""blocks"": [{ ""type"", ""content"" }], ""created_at"" }] }",/api/v1/chats/{thread_id},이정,채팅,특정 채팅의 메시지 블록들을 채팅창에 표시
대화 메시지 전체 조회,구현 완료,GET,Phase 1,"• cursor: 페이지네이션
• limit: 기본 50",,"Response (200 OK)
{ ""items"": [{ ""message_id"", ""role"", ""blocks"": [...], ""created_at"" }],
  ""next_cursor"" }

• append-only 원본
• 북마크 위치 이동용",/api/v1/chats/{thread_id}/messages,이정,채팅,전체 메시지 원본. 북마크 위치 이동 시 사용
대화 제목 수정,구현 완료,PATCH,Phase 1,,"Request Body:
{ ""title"": ""string"" }","Response (200 OK)
{ ""thread_id"", ""title"", ""updated_at"" }",/api/v1/chats/{thread_id},이정,채팅,사이드바에서 대화 제목을 직접 수정
대화 삭제,구현 완료,DELETE,Phase 1,,,"Response (204 No Content)

messages + bookmarks cascade 삭제",/api/v1/chats/{thread_id},이정,채팅,채팅 목록에서 특정 대화를 삭제
채팅 시작 (SSE),구현 완료,GET,Phase 1,"• thread_id: 채팅 세션 ID
• query: 사용자 질문
• token: JWT (헤더 대안)","GET 요청 (query params). 본문 없음.
JWT: Authorization: Bearer {token}
중단: AbortController.abort()","SSE 이벤트 스트림:
event: intent|status|text_stream|place|places|events|course|map_markers|map_route|chart|calendar|references|analysis_sources|disambiguation|done|error
data: {json}

• done 이벤트 = 응답 종료
• error에 retryable 플래그",/api/v1/chat/stream,이정,채팅,SSE 스트림으로 AI와 실시간 채팅
공유 대화 조회 (읽기 전용),구현 완료,GET,Phase 1,,,"Response (200 OK)
{ ""thread_title"", ""messages"": [{ ""role"", ""blocks"", ""created_at"" }] }

• 인증 불필요
• 읽기 전용",/shared/{share_token},이정,공통,공유 링크로 로그인 없이 대화 열람
대화 공유 링크 생성,구현 완료,POST,Phase 1,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_range"": {
    ""from_message_id"": ""string"" | null,
    ""to_message_id"": ""string"" | null
  } }","Response (201 Created)
{ ""share_token"": ""string"",
  ""share_url"": ""https://.../shared/{token}"",
  ""expires_at"": ""ISO 8601"" | null }",/api/v1/chats/{thread_id}/share,이정,채팅,특정 응답이나 전체 대화를 공유 링크로 만듬
공유 링크 해제,구현 완료,DELETE,Phase 1,,,Response (204 No Content),/api/v1/chats/{thread_id}/share,이정,채팅,발급한 공유 링크를 비활성화
SSE: 장소 상세 조회 (DETAIL_INQUIRY),구현 완료,GET,Phase 1,,GET /api/v1/chat/stream?query=거기 영업시간은?,"intent → status → text_stream → place → done

place: { place_id, name, phone, is_open_now, opening_hours }",/api/v1/chat/stream,이정,채팅,이전 대화 맥락에서 언급된 장소의 상세 정보 조회
SSE: 장소 추천 (PLACE_RECOMMEND),,GET,Phase 1,,GET /api/v1/chat/stream?query=카공하기 좋은 카페 추천,intent → text_stream → places[] → map_markers → references → done,/api/v1/chat/stream,이정,채팅,비정형 조건 기반 장소 추천 + 추천 사유
SSE: 장소 검색 (PLACE_SEARCH),구현 완료,GET,Phase 1,,GET /api/v1/chat/stream?query=홍대 카페,"intent → status → text_stream → places[] → map_markers → done

places: { ""items"": [{ ""place_id"", ""name"", ""category"", ""address"", ""location"", ""rating"", ""photo_url"" }] }",/api/v1/chat/stream,이정,채팅,자연어 장소 검색
SSE: 단일 장소 분석 (ANALYSIS),,GET,Phase 1,,GET /api/v1/chat/stream?query=이 카페 분석해줘,"intent → status → text_stream → analysis_sources → done

6지표: satisfaction/accessibility/cleanliness/value/atmosphere/expertise",/api/v1/chat/stream,이정,채팅,런타임 Gemini 6지표 채점 + 리뷰 분석
SSE: 코스 추천 (COURSE_PLAN),,GET,Phase 1,,GET /api/v1/chat/stream?query=홍대 카페+맛집 코스,"intent → text_stream → course → map_route → done

course: { stops: [{ order, place, duration_min, transit_to_next }] }
map_route: { markers, polyline }",/api/v1/chat/stream,이정,채팅,카테고리별 병렬 검색 → ST_DWithin → Greedy NN → OSRM
SSE: 중첩된 요청 대응 (Multi-Intent),,GET,Phase 1,,GET /api/v1/chat/stream?query=홍대 카페 추천해주고 주말 전시회도 알려줘,"PLACE_RECOMMEND 이벤트 → done_partial → EVENT_SEARCH 이벤트 → done

done_partial: 다음 intent 남아있음
done: 모든 intent 처리 완료",/api/v1/chat/stream,이정,채팅,복수 intent 순차 실행. done_partial로 구분
헬스체크,구현 완료,GET,Phase 1,,,"Response (200 OK)
{ ""status"": ""healthy"",
  ""version"": ""string"",
  ""uptime_seconds"": 12345,
  ""database"": ""connected"",
  ""opensearch"": ""connected"" }",/api/v1/health,이정,공통,서버/DB/OS 연결 상태 확인
SSE: 에러 처리,구현 완료,GET,Phase 1,,,"event: error
data: { ""message"": ""string"", ""retryable"": true|false }

브라우저 Last-Event-ID 기반 자동 재연결",/api/v1/chat/stream,이정,채팅,SSE 스트림 에러 처리 + 자동 재연결
SSE: 응답 재생성 (Retry),구현 완료,GET,Phase 1,,동일 query로 새 SSE 스트림 재요청,마지막 assistant 메시지 삭제 후 재실행,/api/v1/chat/stream,이정,채팅,다시 생성 버튼 클릭 시 동일 질문으로 재요청
SSE: 응답 중단 (Interrupt),구현 완료,GET,Phase 1,,AbortController.abort() / EventSource.close(),"event: done
data: { ""reason"": ""cancelled"", ""partial"": true }

서버: http://request.is_disconnected() 감지 → 파이프라인 중단",/api/v1/chat/stream,이정,채팅,ESC 또는 중단 버튼으로 스트리밍 즉시 중단
SSE: 처리 상태 표시 (Status),구현 완료,GET,Phase 1,,,"event: status
data: { ""content"": ""장소를 검색하고 있어요..."" }

노드 전환 시마다 자동 전송. text_stream 시작 시 로딩 해제.",/api/v1/chat/stream,이정,채팅,LangGraph 노드 전환 시 진행 상태 표시
SSE: 일반 대화 (GENERAL),구현 완료,GET,Phase 1,,GET /api/v1/chat/stream?query=안녕! 오늘 날씨 어때?,"intent → text_stream → done

텍스트만 스트리밍, 별도 블록 없음",/api/v1/chat/stream,이정,채팅,일반 대화 응답
SSE: 행사 추천 (EVENT_RECOMMEND),진행중,GET,Phase 1,,GET /api/v1/chat/stream?query=주말에 갈 만한 전시회 추천해줘,intent → status → text_stream → events[] → references → done,/api/v1/chat/stream,한정수,채팅,취향/맥락 기반 행사 추천 + 추천 사유
SSE: 행사 검색 (EVENT_SEARCH),,GET,Phase 1,,GET /api/v1/chat/stream?query=이번 주말 서울 전시회,intent → status → text_stream → events[] → done,/api/v1/chat/stream,한정수,채팅,DB 우선 → Naver fallback 행사 검색
닉네임 변경,구현 완료,PATCH,Phase 1,,"Request Body:
{ ""nickname"": ""string"" }","Response (200 OK)
{ ""user_id"": ""string (BIGINT)"",
  ""email"": ""string"",
  ""nickname"": ""string"",
  ""updated_at"": ""ISO 8601"" }",/api/v1/users/me,한정수,사용자,설정 페이지에서 닉네임을 변경
